[17:59:31] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/INFO]: Reloading ResourceManager: Default
[17:59:35] [Worker-Main-8/INFO]: Loaded 7 recipes
[17:59:36] [Worker-Main-8/INFO]: Loaded 1141 advancements
[17:59:42] [Server thread/INFO]: Starting minecraft server version 1.18
[17:59:42] [Server thread/INFO]: Loading properties
[17:59:42] [Server thread/INFO]: Default game type: SURVIVAL
[17:59:42] [Server thread/INFO]: Generating keypair
[17:59:42] [Server thread/INFO]: Starting Minecraft server on 192.168.0.107:25565
[17:59:43] [Server thread/INFO]: Using default channel type
[17:59:44] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:59:44] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:59:44] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:59:44] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:59:44] [Server thread/INFO]: Preparing level "world"
[18:00:23] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:23] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:00:24] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[18:00:24] [Worker-Main-12/INFO]: Preparing spawn area: 1%
[18:00:25] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[18:00:25] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[18:00:26] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[18:00:26] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[18:00:27] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[18:00:27] [Worker-Main-13/INFO]: Preparing spawn area: 2%
[18:00:28] [Worker-Main-11/INFO]: Preparing spawn area: 2%
[18:00:28] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[18:00:29] [Worker-Main-12/INFO]: Preparing spawn area: 2%
[18:00:29] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[18:00:30] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[18:00:30] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[18:00:31] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[18:00:31] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[18:00:32] [Worker-Main-12/INFO]: Preparing spawn area: 3%
[18:00:32] [Worker-Main-12/INFO]: Preparing spawn area: 3%
[18:00:33] [Worker-Main-10/INFO]: Preparing spawn area: 4%
[18:00:33] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[18:00:34] [Worker-Main-10/INFO]: Preparing spawn area: 5%
[18:00:34] [Worker-Main-10/INFO]: Preparing spawn area: 5%
[18:00:35] [Worker-Main-14/INFO]: Preparing spawn area: 5%
[18:00:35] [Worker-Main-10/INFO]: Preparing spawn area: 6%
[18:00:36] [Worker-Main-12/INFO]: Preparing spawn area: 6%
[18:00:36] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[18:00:37] [Worker-Main-10/INFO]: Preparing spawn area: 7%
[18:00:37] [Worker-Main-12/INFO]: Preparing spawn area: 7%
[18:00:38] [Worker-Main-13/INFO]: Preparing spawn area: 8%
[18:00:38] [Worker-Main-13/INFO]: Preparing spawn area: 8%
[18:00:39] [Worker-Main-13/INFO]: Preparing spawn area: 8%
[18:00:39] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[18:00:40] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[18:00:40] [Worker-Main-13/INFO]: Preparing spawn area: 9%
[18:00:41] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[18:00:41] [Worker-Main-12/INFO]: Preparing spawn area: 9%
[18:00:42] [Worker-Main-14/INFO]: Preparing spawn area: 10%
[18:00:42] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[18:00:43] [Worker-Main-8/INFO]: Preparing spawn area: 11%
[18:00:43] [Worker-Main-12/INFO]: Preparing spawn area: 11%
[18:00:44] [Worker-Main-9/INFO]: Preparing spawn area: 11%
[18:00:45] [Worker-Main-13/INFO]: Preparing spawn area: 13%
[18:00:45] [Worker-Main-12/INFO]: Preparing spawn area: 13%
[18:00:45] [Worker-Main-13/INFO]: Preparing spawn area: 13%
[18:00:46] [Worker-Main-14/INFO]: Preparing spawn area: 14%
[18:00:46] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[18:00:47] [Worker-Main-14/INFO]: Preparing spawn area: 15%
[18:00:47] [Worker-Main-9/INFO]: Preparing spawn area: 16%
[18:00:48] [Worker-Main-10/INFO]: Preparing spawn area: 16%
[18:00:49] [Worker-Main-13/INFO]: Preparing spawn area: 17%
[18:00:49] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[18:00:49] [Worker-Main-14/INFO]: Preparing spawn area: 17%
[18:00:50] [Worker-Main-10/INFO]: Preparing spawn area: 18%
[18:00:50] [Worker-Main-12/INFO]: Preparing spawn area: 18%
[18:00:51] [Worker-Main-11/INFO]: Preparing spawn area: 18%
[18:00:51] [Worker-Main-10/INFO]: Preparing spawn area: 19%
[18:00:52] [Worker-Main-13/INFO]: Preparing spawn area: 19%
[18:00:52] [Worker-Main-14/INFO]: Preparing spawn area: 19%
[18:00:53] [Worker-Main-9/INFO]: Preparing spawn area: 19%
[18:00:54] [Worker-Main-13/INFO]: Preparing spawn area: 21%
[18:00:54] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[18:00:54] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[18:00:55] [Worker-Main-11/INFO]: Preparing spawn area: 24%
[18:00:55] [Worker-Main-11/INFO]: Preparing spawn area: 24%
[18:00:56] [Worker-Main-10/INFO]: Preparing spawn area: 24%
[18:00:56] [Worker-Main-11/INFO]: Preparing spawn area: 24%
[18:00:57] [Worker-Main-13/INFO]: Preparing spawn area: 25%
[18:00:57] [Worker-Main-13/INFO]: Preparing spawn area: 25%
[18:00:58] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[18:00:58] [Worker-Main-11/INFO]: Preparing spawn area: 25%
[18:00:59] [Worker-Main-11/INFO]: Preparing spawn area: 25%
[18:00:59] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[18:01:00] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[18:01:00] [Worker-Main-10/INFO]: Preparing spawn area: 25%
[18:01:01] [Worker-Main-10/INFO]: Preparing spawn area: 25%
[18:01:01] [Worker-Main-11/INFO]: Preparing spawn area: 25%
[18:01:02] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[18:01:03] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[18:01:04] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[18:01:04] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[18:01:04] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[18:01:04] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[18:01:05] [Worker-Main-11/INFO]: Preparing spawn area: 27%
[18:01:05] [Worker-Main-9/INFO]: Preparing spawn area: 27%
[18:01:06] [Worker-Main-8/INFO]: Preparing spawn area: 28%
[18:01:06] [Worker-Main-10/INFO]: Preparing spawn area: 28%
[18:01:07] [Worker-Main-11/INFO]: Preparing spawn area: 28%
[18:01:07] [Worker-Main-11/INFO]: Preparing spawn area: 28%
[18:01:08] [Worker-Main-9/INFO]: Preparing spawn area: 29%
[18:01:09] [Worker-Main-10/INFO]: Preparing spawn area: 30%
[18:01:09] [Worker-Main-10/INFO]: Preparing spawn area: 30%
[18:01:10] [Worker-Main-11/INFO]: Preparing spawn area: 31%
[18:01:10] [Worker-Main-11/INFO]: Preparing spawn area: 31%
[18:01:10] [Worker-Main-11/INFO]: Preparing spawn area: 31%
[18:01:11] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[18:01:12] [Worker-Main-14/INFO]: Preparing spawn area: 32%
[18:01:12] [Worker-Main-11/INFO]: Preparing spawn area: 32%
[18:01:12] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[18:01:13] [Worker-Main-9/INFO]: Preparing spawn area: 33%
[18:01:13] [Worker-Main-8/INFO]: Preparing spawn area: 33%
[18:01:14] [Worker-Main-14/INFO]: Preparing spawn area: 34%
[18:01:14] [Worker-Main-14/INFO]: Preparing spawn area: 34%
[18:01:15] [Worker-Main-10/INFO]: Preparing spawn area: 34%
[18:01:16] [Worker-Main-14/INFO]: Preparing spawn area: 34%
[18:01:16] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[18:01:16] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[18:01:17] [Worker-Main-13/INFO]: Preparing spawn area: 35%
[18:01:17] [Worker-Main-14/INFO]: Preparing spawn area: 35%
[18:01:18] [Worker-Main-9/INFO]: Preparing spawn area: 35%
[18:01:18] [Worker-Main-10/INFO]: Preparing spawn area: 35%
[18:01:19] [Worker-Main-13/INFO]: Preparing spawn area: 35%
[18:01:19] [Worker-Main-11/INFO]: Preparing spawn area: 35%
[18:01:20] [Worker-Main-9/INFO]: Preparing spawn area: 36%
[18:01:20] [Worker-Main-13/INFO]: Preparing spawn area: 36%
[18:01:21] [Worker-Main-11/INFO]: Preparing spawn area: 36%
[18:01:22] [Worker-Main-10/INFO]: Preparing spawn area: 36%
[18:01:22] [Worker-Main-14/INFO]: Preparing spawn area: 36%
[18:01:22] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[18:01:23] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[18:01:23] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[18:01:24] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[18:01:24] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[18:01:25] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[18:01:25] [Worker-Main-11/INFO]: Preparing spawn area: 37%
[18:01:26] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[18:01:26] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[18:01:27] [Worker-Main-8/INFO]: Preparing spawn area: 40%
[18:01:27] [Worker-Main-11/INFO]: Preparing spawn area: 40%
[18:01:28] [Worker-Main-12/INFO]: Preparing spawn area: 41%
[18:01:28] [Worker-Main-13/INFO]: Preparing spawn area: 41%
[18:01:29] [Worker-Main-11/INFO]: Preparing spawn area: 42%
[18:01:29] [Worker-Main-11/INFO]: Preparing spawn area: 42%
[18:01:30] [Worker-Main-12/INFO]: Preparing spawn area: 43%
[18:01:30] [Worker-Main-8/INFO]: Preparing spawn area: 43%
[18:01:31] [Worker-Main-13/INFO]: Preparing spawn area: 44%
[18:01:31] [Worker-Main-11/INFO]: Preparing spawn area: 45%
[18:01:32] [Worker-Main-10/INFO]: Preparing spawn area: 45%
[18:01:33] [Worker-Main-13/INFO]: Preparing spawn area: 45%
[18:01:33] [Worker-Main-10/INFO]: Preparing spawn area: 46%
[18:01:33] [Worker-Main-12/INFO]: Preparing spawn area: 46%
[18:01:34] [Worker-Main-8/INFO]: Preparing spawn area: 46%
[18:01:34] [Worker-Main-14/INFO]: Preparing spawn area: 46%
[18:01:35] [Worker-Main-9/INFO]: Preparing spawn area: 47%
[18:01:35] [Worker-Main-13/INFO]: Preparing spawn area: 47%
[18:01:36] [Worker-Main-12/INFO]: Preparing spawn area: 47%
[18:01:36] [Worker-Main-8/INFO]: Preparing spawn area: 47%
[18:01:37] [Worker-Main-10/INFO]: Preparing spawn area: 48%
[18:01:37] [Worker-Main-10/INFO]: Preparing spawn area: 48%
[18:01:38] [Worker-Main-10/INFO]: Preparing spawn area: 48%
[18:01:38] [Worker-Main-11/INFO]: Preparing spawn area: 48%
[18:01:39] [Worker-Main-11/INFO]: Preparing spawn area: 49%
[18:01:39] [Worker-Main-10/INFO]: Preparing spawn area: 50%
[18:01:40] [Worker-Main-14/INFO]: Preparing spawn area: 51%
[18:01:40] [Worker-Main-14/INFO]: Preparing spawn area: 51%
[18:01:41] [Worker-Main-10/INFO]: Preparing spawn area: 52%
[18:01:41] [Worker-Main-13/INFO]: Preparing spawn area: 52%
[18:01:42] [Worker-Main-8/INFO]: Preparing spawn area: 53%
[18:01:42] [Worker-Main-8/INFO]: Preparing spawn area: 53%
[18:01:43] [Worker-Main-10/INFO]: Preparing spawn area: 53%
[18:01:43] [Worker-Main-9/INFO]: Preparing spawn area: 53%
[18:01:44] [Worker-Main-14/INFO]: Preparing spawn area: 53%
[18:01:44] [Worker-Main-10/INFO]: Preparing spawn area: 53%
[18:01:45] [Worker-Main-10/INFO]: Preparing spawn area: 53%
[18:01:45] [Worker-Main-13/INFO]: Preparing spawn area: 54%
[18:01:46] [Worker-Main-10/INFO]: Preparing spawn area: 54%
[18:01:46] [Worker-Main-9/INFO]: Preparing spawn area: 54%
[18:01:47] [Worker-Main-10/INFO]: Preparing spawn area: 55%
[18:01:48] [Worker-Main-10/INFO]: Preparing spawn area: 55%
[18:01:48] [Worker-Main-14/INFO]: Preparing spawn area: 55%
[18:01:48] [Worker-Main-8/INFO]: Preparing spawn area: 55%
[18:01:49] [Worker-Main-14/INFO]: Preparing spawn area: 56%
[18:01:49] [Worker-Main-13/INFO]: Preparing spawn area: 56%
[18:01:50] [Worker-Main-11/INFO]: Preparing spawn area: 56%
[18:01:51] [Worker-Main-8/INFO]: Preparing spawn area: 56%
[18:01:51] [Worker-Main-10/INFO]: Preparing spawn area: 57%
[18:01:52] [Worker-Main-9/INFO]: Preparing spawn area: 57%
[18:01:52] [Worker-Main-12/INFO]: Preparing spawn area: 57%
[18:01:52] [Worker-Main-12/INFO]: Preparing spawn area: 57%
[18:01:53] [Worker-Main-11/INFO]: Preparing spawn area: 58%
[18:01:53] [Worker-Main-10/INFO]: Preparing spawn area: 58%
[18:01:54] [Worker-Main-10/INFO]: Preparing spawn area: 59%
[18:01:54] [Worker-Main-10/INFO]: Preparing spawn area: 59%
[18:01:55] [Worker-Main-10/INFO]: Preparing spawn area: 59%
[18:01:55] [Worker-Main-13/INFO]: Preparing spawn area: 59%
[18:01:56] [Worker-Main-13/INFO]: Preparing spawn area: 59%
[18:01:56] [Worker-Main-8/INFO]: Preparing spawn area: 60%
[18:01:57] [Worker-Main-14/INFO]: Preparing spawn area: 62%
[18:01:57] [Worker-Main-12/INFO]: Preparing spawn area: 63%
[18:01:58] [Worker-Main-8/INFO]: Preparing spawn area: 63%
[18:01:58] [Worker-Main-11/INFO]: Preparing spawn area: 64%
[18:01:59] [Worker-Main-8/INFO]: Preparing spawn area: 64%
[18:01:59] [Worker-Main-8/INFO]: Preparing spawn area: 64%
[18:02:00] [Worker-Main-9/INFO]: Preparing spawn area: 65%
[18:02:00] [Worker-Main-11/INFO]: Preparing spawn area: 65%
[18:02:01] [Worker-Main-10/INFO]: Preparing spawn area: 66%
[18:02:01] [Worker-Main-9/INFO]: Preparing spawn area: 66%
[18:02:02] [Worker-Main-11/INFO]: Preparing spawn area: 66%
[18:02:02] [Worker-Main-10/INFO]: Preparing spawn area: 66%
[18:02:03] [Worker-Main-8/INFO]: Preparing spawn area: 66%
[18:02:03] [Worker-Main-10/INFO]: Preparing spawn area: 67%
[18:02:04] [Worker-Main-8/INFO]: Preparing spawn area: 67%
[18:02:04] [Worker-Main-8/INFO]: Preparing spawn area: 67%
[18:02:05] [Worker-Main-10/INFO]: Preparing spawn area: 67%
[18:02:05] [Worker-Main-14/INFO]: Preparing spawn area: 68%
[18:02:06] [Worker-Main-14/INFO]: Preparing spawn area: 68%
[18:02:06] [Worker-Main-12/INFO]: Preparing spawn area: 69%
[18:02:07] [Worker-Main-14/INFO]: Preparing spawn area: 69%
[18:02:07] [Worker-Main-14/INFO]: Preparing spawn area: 69%
[18:02:08] [Worker-Main-8/INFO]: Preparing spawn area: 69%
[18:02:08] [Worker-Main-12/INFO]: Preparing spawn area: 69%
[18:02:09] [Worker-Main-13/INFO]: Preparing spawn area: 71%
[18:02:09] [Worker-Main-8/INFO]: Preparing spawn area: 71%
[18:02:10] [Worker-Main-13/INFO]: Preparing spawn area: 71%
[18:02:10] [Worker-Main-12/INFO]: Preparing spawn area: 74%
[18:02:11] [Worker-Main-11/INFO]: Preparing spawn area: 74%
[18:02:11] [Worker-Main-13/INFO]: Preparing spawn area: 74%
[18:02:12] [Worker-Main-14/INFO]: Preparing spawn area: 76%
[18:02:12] [Worker-Main-10/INFO]: Preparing spawn area: 76%
[18:02:13] [Worker-Main-8/INFO]: Preparing spawn area: 76%
[18:02:14] [Worker-Main-9/INFO]: Preparing spawn area: 77%
[18:02:14] [Worker-Main-12/INFO]: Preparing spawn area: 77%
[18:02:14] [Worker-Main-10/INFO]: Preparing spawn area: 78%
[18:02:15] [Worker-Main-11/INFO]: Preparing spawn area: 78%
[18:02:15] [Worker-Main-9/INFO]: Preparing spawn area: 79%
[18:02:16] [Worker-Main-10/INFO]: Preparing spawn area: 79%
[18:02:16] [Worker-Main-13/INFO]: Preparing spawn area: 79%
[18:02:17] [Worker-Main-9/INFO]: Preparing spawn area: 79%
[18:02:18] [Worker-Main-9/INFO]: Preparing spawn area: 79%
[18:02:18] [Worker-Main-14/INFO]: Preparing spawn area: 79%
[18:02:18] [Worker-Main-12/INFO]: Preparing spawn area: 79%
[18:02:19] [Worker-Main-10/INFO]: Preparing spawn area: 79%
[18:02:19] [Worker-Main-14/INFO]: Preparing spawn area: 79%
[18:02:20] [Worker-Main-9/INFO]: Preparing spawn area: 81%
[18:02:20] [Worker-Main-13/INFO]: Preparing spawn area: 81%
[18:02:21] [Worker-Main-8/INFO]: Preparing spawn area: 83%
[18:02:21] [Worker-Main-12/INFO]: Preparing spawn area: 83%
[18:02:22] [Worker-Main-8/INFO]: Preparing spawn area: 83%
[18:02:22] [Worker-Main-8/INFO]: Preparing spawn area: 83%
[18:02:23] [Worker-Main-10/INFO]: Preparing spawn area: 83%
[18:02:23] [Worker-Main-10/INFO]: Preparing spawn area: 83%
[18:02:24] [Worker-Main-11/INFO]: Preparing spawn area: 84%
[18:02:24] [Worker-Main-13/INFO]: Preparing spawn area: 84%
[18:02:25] [Worker-Main-12/INFO]: Preparing spawn area: 87%
[18:02:25] [Worker-Main-10/INFO]: Preparing spawn area: 88%
[18:02:26] [Worker-Main-8/INFO]: Preparing spawn area: 88%
[18:02:26] [Worker-Main-9/INFO]: Preparing spawn area: 90%
[18:02:27] [Worker-Main-13/INFO]: Preparing spawn area: 90%
[18:02:27] [Worker-Main-9/INFO]: Preparing spawn area: 91%
[18:02:28] [Worker-Main-10/INFO]: Preparing spawn area: 92%
[18:02:28] [Worker-Main-14/INFO]: Preparing spawn area: 93%
[18:02:29] [Worker-Main-9/INFO]: Preparing spawn area: 93%
[18:02:29] [Worker-Main-10/INFO]: Preparing spawn area: 95%
[18:02:30] [Worker-Main-10/INFO]: Preparing spawn area: 96%
[18:02:30] [Worker-Main-10/INFO]: Preparing spawn area: 97%
[18:02:31] [Worker-Main-11/INFO]: Preparing spawn area: 97%
[18:02:31] [Server thread/INFO]: Time elapsed: 141953 ms
[18:02:31] [Server thread/INFO]: Done (167.620s)! For help, type "help"
[18:05:13] [Server thread/INFO]: Heisenberg[/192.168.0.107:64552] logged in with entity id 205 at (2.5, 137.0, 22.5)
[18:05:13] [Server thread/INFO]: Heisenberg joined the game
[18:05:21] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3542ms or 70 ticks behind
[18:05:35] [Server thread/INFO]: Heisenberg lost connection: Disconnected
[18:05:35] [Server thread/INFO]: Heisenberg left the game
[18:05:39] [Server thread/INFO]: Stopping the server
[18:05:39] [Server thread/INFO]: Stopping server
[18:05:39] [Server thread/INFO]: Saving players
[18:05:39] [Server thread/INFO]: Saving worlds
[18:05:39] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[18:05:39] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[18:05:39] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[18:05:39] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[18:05:39] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[18:05:39] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[18:05:39] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
